;Unnamed: 0;krs_code;krs_name;krs_type;krs_name_sh;lon_centr;lat_centr;magnitude;obscuration;Clouds
199;199;['08236'];Landkreis Enzkreis;Landkreis;Landkreis Enzkreis;8.73715852;48.91447763;0.257;15.2;100
200;200;['09172'];Landkreis Berchtesgadener Land;Landkreis;Berchtesgadener Land;12.90184416;47.6985158;0.176;8.7;90
201;201;['09464'];Kreisfreie Stadt Hof;Kreisfreie Stadt;Hof;11.89729854;50.31079568;0.238;13.6;100
202;202;['09477'];Landkreis Kulmbach;Landkreis;Kulmbach;11.48227054;50.10262361;0.24;13.7;100
203;203;['09764'];Kreisfreie Stadt Memmingen;Kreisfreie Stadt;Memmingen;10.16305874;47.97877167;0.221;12.2;100
204;204;['09772'];Landkreis Augsburg;Landkreis;Augsburg;10.73206743;48.35428995;0.219;12.1;100
205;205;['13073'];Landkreis Vorpommern-Rügen;Landkreis;Vorpommern-Rügen;12.99299534;54.28435543;0.293;18.4;100
206;206;['14524'];Landkreis Zwickau;Landkreis;Zwickau;12.52579452;50.75074265;0.237;13.5;100
207;207;['14626'];Landkreis Görlitz;Landkreis;Görlitz;14.75080736;51.22562036;0.216;11.8;100
208;208;['16072'];Landkreis Sonneberg;Landkreis;Sonneberg;11.13628152;50.42132378;0.25;14.6;100
209;209;['03359'];Landkreis Stade;Landkreis;Stade;9.417736753;53.57931444;0.325;21.4;91
210;210;['03403'];Kreisfreie Stadt Oldenburg (Oldb);Kreisfreie Stadt;Oldenburg (Oldb);8.224338843;53.14457334;0.333;22.2;26
211;211;['03453'];Landkreis Cloppenburg;Landkreis;Cloppenburg;7.904702676;52.91100903;0.334;22.2;15
212;212;['05124'];Kreisfreie Stadt Wuppertal;Kreisfreie Stadt;Wuppertal;7.168916739;51.2506578;0.317;20.6;60
213;213;['06437'];Landkreis Odenwaldkreis;Landkreis;Landkreis Odenwaldkreis;8.979516888;49.67163292;0.267;16.1;100
214;214;['08215'];Landkreis Karlsruhe;Landkreis;Karlsruhe;8.562828389;49.08188344;0.263;15.7;100
215;215;['09261'];Kreisfreie Stadt Landshut;Kreisfreie Stadt;Landshut;12.15936649;48.5446764;0.202;10.7;100
216;216;['09562'];Kreisfreie Stadt Erlangen;Kreisfreie Stadt;Erlangen;10.97814034;49.58234808;0.237;13.5;60
217;217;['09674'];Landkreis Haßberge;Landkreis;Haßberge;10.60698183;50.06287932;0.251;14.7;100
218;218;['09771'];Landkreis Aichach-Friedberg;Landkreis;Aichach-Friedberg;11.05276053;48.42757253;0.216;11.8;100
219;219;['09773'];Landkreis Dillingen a.d.Donau;Landkreis;Dillingen a.d.Donau;10.52779365;48.59641063;0.226;12.6;100
220;220;['12066'];Landkreis Oberspreewald-Lausitz;Landkreis;Oberspreewald-Lausitz;13.94357953;51.61628911;0.234;13.2;99
